x,y,value
108,70,0.13762596632532992
102,86,0.12302855213400123
104,76,0.11089959615442076
84,22,0.03551624374998007
122,122,0.10812868751556462
91,15,0.08533715302765855
151,71,0.12656982054474383
138,46,0.09170313460299857
128,104,0.0909894953846592
142,112,0.04968134344405651
152,93,0.14493644593940294
150,88,0.13758238655523758
104,95,0.1492806636511246
109,41,0.1296989315124626
138,61,0.09208886086249099
99,15,0.02813548521397523
105,84,0.09993457986673494
115,14,0.07560951501625117
99,117,0.12571509777134915
136,42,0.09189611247972636
140,65,0.08620244015306812
76,105,0.09256222728427677
64,41,0.07896237269708058
81,29,0.05643971744333907
86,18,0.08371190363821895
153,98,0.15739390115914595
145,81,0.13827623148574086
125,135,0.0918111892821163
83,72,0.08923793982366265
151,54,0.11056520181361616
147,84,0.1387892593260552
122,72,0.048171214948555925
56,50,0.09453279093325377
143,80,0.13581741622570304
99,97,0.07413641680420555
93,21,0.06571030649185478
58,42,0.05635838219170682
131,62,0.07342474185363536
113,39,0.13470660809999077
57,55,0.0970591641249156
96,92,0.09103608762964935
131,45,0.10725919239896514
136,68,0.09930590319064285
122,69,0.07389784248501764
115,28,0.08934845017102254
101,111,0.09548953927201971
96,67,0.14520450504324975
132,59,0.05469086549569272
101,11,0.06974217920491371
100,104,0.06879320444638964
71,17,0.06160507542085162
122,113,0.16753142351308195
104,117,0.08767228789803992
85,111,0.09263370478934102
152,57,0.09849801777418413
154,104,0.1805802756475393
106,8,0.05605383062727741
154,102,0.1801378781948874
134,49,0.10147072238930865
107,70,0.13577454121629573
96,107,0.07546425960528372
112,109,0.1439769390072662
135,69,0.10387863665370171
142,79,0.13405153402779588
152,60,0.09351117669546552
113,117,0.09829051897046087
138,107,0.044454935637399294
99,101,0.07285505357874678
106,12,0.0627533408369122
82,16,0.07143218699611041
152,92,0.14090515007133791
93,88,0.07282471380920154
152,55,0.10425750630459804
90,14,0.08384146969774381
124,106,0.12126239326426666
146,127,0.08936542955348659
86,110,0.0912992440272551
92,17,0.07672697985757054
88,35,0.07457840603106894
89,91,0.05357654598912958
120,129,0.07656700129799353
131,101,0.0718728240031065
96,55,0.15284037613713763
145,127,0.09234705851048802
124,105,0.12850829000416955
75,103,0.09917451914679175
114,95,0.14633889419925283
70,21,0.08362679654188446
124,100,0.13418345070334667
147,126,0.0921228728595156
106,96,0.150940137727474
105,96,0.14676265088202958
99,48,0.10988209639678197
144,58,0.09368695921536034
130,25,0.050703819232841375
74,23,0.08039911862595596
138,100,0.11271066537434844
110,98,0.14373002608016125
111,40,0.13219693339502647
116,112,0.13204350928546993
129,70,0.07840814804381946
87,19,0.08946440269944816
106,109,0.11342455458704684
117,24,0.05083892576590095
57,69,0.03971933450407916
97,70,0.1405362115565444
100,46,0.11343496327056762
146,83,0.14072782244935614
154,106,0.17942691273118483
120,120,0.12259190028435372
103,95,0.1455056623605733
133,61,0.08834082735066517
92,18,0.06682773268981765
118,74,0.07901871301167972
120,115,0.14531239614493108
118,76,0.07383165722004849
146,82,0.13804631959462504
119,115,0.12891912321752574
107,108,0.1202448863060208
129,42,0.10919428033161306
123,112,0.16884286609247764
108,115,0.0721315128866334
115,11,0.07723921128528867
134,39,0.08852265734029426
114,119,0.08510021592952433
134,50,0.10080621006005014
98,70,0.139583647417355
79,15,0.07218119086299866
131,119,0.1647594404307564
70,20,0.0771011059652226
135,62,0.09682440916814511
88,87,0.06933284670565858
75,53,0.07115693844501493
127,124,0.15729730178174367
152,61,0.09556511993840508
98,93,0.08325809112388036
57,42,0.053983245821706084
151,66,0.14188851992540305
106,7,0.052107516939308034
114,129,0.04844173619135441
96,53,0.1459444643451406
137,52,0.1015070534492672
73,22,0.08386943816393815
117,81,0.044611126007554396
99,88,0.11025154484683068
123,38,0.13851203287545516
80,30,0.06994508754557652
124,102,0.13772083778280741
100,11,0.06743712502343352
94,5,0.06526554537971539
100,115,0.12102253712989612
150,89,0.14328990450909915
119,119,0.09442955901219025
110,7,0.04969085505875449
92,5,0.06647098153387938
134,97,0.08186575089584393
133,115,0.08363569286831325
83,17,0.07288082835624149
129,120,0.1701772764550529
130,62,0.09069188306202317
144,127,0.0922305889045524
151,64,0.13329854140251837
88,7,0.07826860150654304
113,96,0.14815114528028261
80,28,0.048794686908037344
133,39,0.08945497756448086
87,110,0.08701184457145551
130,71,0.07298953999513116
113,78,0.07152138990508682
94,101,0.03633590406417577
141,78,0.125005084313485
142,104,0.11403258467022917
127,126,0.13376598201939605
90,87,0.06818870936973351
100,47,0.11101116254061941
95,14,0.03324382038239384
90,12,0.08705826907642761
103,14,0.07242105338922246
109,40,0.13294346113763927
96,64,0.1494041402339367
105,25,0.05217339059218204
94,107,0.07715215619098277
130,119,0.16574175749461345
109,126,0.037791625121393835
105,43,0.12550898107640301
