x,y,value
691,50,0.1180911793898531
261,111,0.15894905077727392
178,338,0.1064870599344478
1221,441,0.04673119489008627
616,75,0.12477166093741722
330,161,0.058000488077364874
176,345,0.1079398144882853
297,145,0.1446334108070479
576,101,0.13994049459038083
765,105,0.15386138611285985
341,158,0.12302062299909831
326,174,0.12815253885174888
612,63,0.15242670197006064
412,64,0.11159988091654964
270,229,0.10612564078244449
621,77,0.11124799489719711
155,289,0.13994790274717644
263,204,0.1604550800428352
362,156,0.16095681861124345
345,153,0.1531902179761147
580,98,0.14980562095870154
339,66,0.16399486124795193
602,57,0.09164346351964789
164,244,0.11720002878314187
259,132,0.09754902849101454
265,172,0.140396045018597
822,188,0.17588251379617492
743,104,0.09258598742182776
821,183,0.1782401391575403
548,2,0.15178002653347447
187,349,0.12858661830090723
621,31,0.14236578326533883
242,230,0.14060731719005826
690,49,0.12324111224490317
269,202,0.16887215408930292
595,34,0.13313488444553712
187,343,0.10564727371233637
366,98,0.09135268239910584
509,86,0.11512930491470777
339,88,0.05219195006229871
423,96,0.08532350485864126
243,198,0.13009460706669754
227,282,0.0973544807479769
391,41,0.0700040877157749
212,327,0.13056821554512782
625,88,0.07402019891096688
306,203,0.13941621610782923
169,244,0.13482023173018443
223,306,0.11741390317373361
366,46,0.15933630818193623
426,38,0.10383689705421809
554,100,0.0919290782545589
530,8,0.099649366707719
389,64,0.05116586272723132
184,287,0.1446543111836885
318,81,0.0869957602741907
251,277,0.16248745898930828
266,155,0.12282792194268827
757,120,0.07338424871345174
227,217,0.1377806257764698
252,248,0.07446503609294373
262,260,0.14507921055761647
173,285,0.10746315148653954
186,328,0.1013526256960208
306,147,0.13334667852876023
797,150,0.08801794433416388
724,94,0.12271502718961093
352,87,0.07260677510565297
309,78,0.17444571670509756
227,230,0.0888912901103415
618,16,0.1622916920804631
357,112,0.11176934318559843
787,162,0.13523552780516715
643,45,0.13590291274110008
627,19,0.12565694206768424
251,278,0.16180324642762556
336,163,0.12451023128051172
367,153,0.15827419290786762
179,282,0.11256243860850673
282,211,0.1022978605007884
337,162,0.12248998194886863
482,11,0.11042201288508624
295,69,0.16804608323442644
165,257,0.11923469173828295
270,250,0.1376189266126509
278,237,0.15618493565588246
365,46,0.16636967010048884
217,324,0.1429139396337807
308,85,0.16276118769301848
282,105,0.0910603390807113
239,234,0.16202959919405227
502,29,0.08862797539211469
798,141,0.15342250522133988
219,312,0.12933461602341978
367,128,0.15226683180594894
616,70,0.1506953407459172
557,56,0.06338385056548339
328,173,0.12981942106561017
333,166,0.13356601989601807
804,193,0.17296859273532683
338,67,0.16666958197791337
377,52,0.09305690242948508
598,90,0.10129111063120358
407,22,0.16173552038824635
180,333,0.1121165260871967
279,96,0.10584381461988167
164,344,0.1406677438730506
775,116,0.11702833073475555
561,110,0.15628946980048433
410,21,0.15486534284099376
778,150,0.13101890274174124
754,116,0.07619743442119294
522,90,0.14417461423772063
776,140,0.040262134012092075
670,37,0.10972952988497132
388,31,0.1411273113313576
260,207,0.14790283118694308
704,59,0.15254737298203755
582,98,0.14961391707188215
283,232,0.14010704985620565
192,354,0.13389436192624327
1221,236,0.04673119489008638
166,309,0.1320937490558063
452,24,0.10741474244058116
470,87,0.14192994906348946
212,347,0.1169106603705715
224,304,0.11540621322174356
567,49,0.06308415014666047
368,127,0.15663209756695248
219,321,0.14961362964203903
334,71,0.16168245516484184
253,217,0.1433151358543489
162,312,0.11791775404277717
592,38,0.04214077244994979
738,82,0.12681261876058633
445,25,0.09906942138865289
156,331,0.141754348384531
190,247,0.11756754463265161
408,32,0.1092551682271046
413,88,0.1195395863222347
488,44,0.10253631064200848
373,115,0.07365317929091765
412,62,0.10600150138884593
271,201,0.16566546349853878
251,275,0.15085684333207805
253,117,0.1175305690036088
207,345,0.11316854094300638
385,118,0.13396566538949495
493,74,0.15128544304287142
551,88,0.06161337355942361
593,33,0.12157004388198142
640,43,0.14783455106993942
723,79,0.09750840054735015
566,80,0.08733648199034864
407,95,0.07367215258049364
251,178,0.09665411287958518
307,157,0.14669363441373962
619,95,0.12464301419537864
402,99,0.11626170182547396
466,87,0.13190218105120374
148,305,0.12674077442362408
605,62,0.09722223901134676
136,275,0.11385965944459317
703,76,0.12268528735766324
575,6,0.15671740549108598
290,215,0.07155724084297908
597,91,0.09239601605002756
789,147,0.09074919908128118
463,42,0.08199450203411478
554,2,0.16797796165837342
468,61,0.11104938002728731
417,85,0.11992248100789688
148,304,0.12562475256154
822,187,0.17791501750848543
625,89,0.07333422137432997
822,193,0.17666819486428298
686,47,0.12883183738508955
784,158,0.14801159040810413
401,92,0.09948046717496574
297,214,0.15630878940828621
139,289,0.13025061704980334
585,9,0.14629395470294745
144,285,0.12190619320727654
144,301,0.1261742697036919
588,58,0.05657654156214974
405,54,0.09661623931591982
288,98,0.08299267923278206
284,102,0.09453090207751165
247,132,0.15369801778680592
378,83,0.09641862988131929
786,127,0.1304572745413663
185,331,0.10687688225815233
231,268,0.13994516900876336
334,113,0.11471641992128549
248,127,0.1176125636113667
168,280,0.10033944117726347
433,50,0.09857123916996273
396,33,0.07039473264266498
466,52,0.10025131521488963
376,107,0.0953315991150051
331,119,0.16580748056411587
217,261,0.12029885315468304
281,234,0.14349294069060525
681,62,0.1267647238274507
599,38,0.15882988471478826
274,158,0.10683089199001672
392,30,0.14659970716132875
756,125,0.11962511764712888
616,16,0.16452084436059183
427,14,0.1595004971329254
138,288,0.13400663629238851
296,173,0.12254972927612585
261,120,0.06574341198688653
267,123,0.10458906250003945
149,307,0.1358464270518197
702,58,0.15636549388670426
294,120,0.14509660500199975
344,61,0.14496724151469573
149,251,0.10310586886626597
489,2,0.11579507810224272
226,218,0.13641445519916376
790,140,0.06608801861482103
277,212,0.050484007498245574
231,213,0.15367940880210387
362,173,0.13653565143923774
462,5,0.15399755824035175
301,68,0.1772768967444232
654,62,0.1415328085598302
213,236,0.1582310850233349
344,161,0.11392627278067549
310,162,0.08958431478396399
370,111,0.10404706659060088
295,215,0.15811710083157943
242,215,0.0983201147369108
275,207,0.1517243748807039
260,112,0.14448514090412762
519,89,0.14069236922660638
532,95,0.13445406103701027
269,189,0.16983412787503777
593,46,0.0966430127085643
447,86,0.10196073348348152
192,272,0.1146034894237532
463,61,0.10979641060217184
793,136,0.12973764673548324
605,51,0.1536680326299525
228,231,0.09670222998689472
265,204,0.16781418029192602
192,330,0.10199925750411869
700,74,0.1268842382905818
383,89,0.09337969839278376
198,266,0.09542617293824888
364,47,0.16677344357723264
610,27,0.12533150044247943
276,98,0.10791240432914902
283,202,0.07237095297060851
609,57,0.15511785532371541
220,234,0.06858880085010965
565,91,0.06325581527181402
422,83,0.1593634668115358
289,149,0.1303631879902487
646,55,0.1086165470275113
579,63,0.05791470014035039
167,307,0.13541688688653644
426,15,0.153031310211624
770,133,0.09428128627293782
368,162,0.15199899696360064
521,21,0.09087836677217773
276,106,0.08807886623669917
589,10,0.14125774670415678
550,106,0.15665619424084948
405,105,0.12479126310446263
281,227,0.06504647470495244
263,235,0.09009668848604048
763,114,0.10684050976282655
486,12,0.10845880997399185
346,138,0.09814026979015249
603,94,0.17008934805676126
221,308,0.11886997378151032
226,275,0.12282943867579847
691,69,0.14728342447146045
257,151,0.10384369362728273
217,281,0.16363788530560394
713,69,0.0642419725123288
170,305,0.11738412199295588
207,241,0.11271740870270679
372,56,0.09839156379039042
160,246,0.09656144176332514
1221,249,0.04673119489008638
293,219,0.14435494881848412
186,279,0.13825777230876785
652,74,0.1478458180234208
523,4,0.09249305059622884
303,151,0.13653438120192216
1221,40,0.04673119489008638
382,108,0.11286946613542338
167,280,0.097635849607267
343,62,0.14672355504894072
818,200,0.16460611520936336
534,55,0.0691254125966277
574,88,0.1027994367776783
819,198,0.16804654026619922
566,30,0.04699800338977745
326,77,0.14457302540495495
811,161,0.17291691707685558
366,122,0.07441312140055906
325,77,0.13959206587156892
457,41,0.07995067774066783
250,183,0.1485752347702327
273,100,0.10323455734741929
236,206,0.14612658670805
218,321,0.14922349579195668
619,16,0.15543741024231997
344,162,0.12466480491002686
587,9,0.13684248950776323
267,238,0.10468433872018572
263,224,0.13661558361371884
337,101,0.047570508907406404
185,330,0.10946127724581531
422,97,0.08904685223357704
435,67,0.07846292611871064
164,311,0.1318394858333346
363,54,0.09480807052934062
327,126,0.15048432256860014
420,98,0.09241838906512571
380,101,0.07905244121288263
304,104,0.14813243292797315
238,292,0.13680992833715927
